blog_url,name,project_desc,project_title,repo_url,tech_stack
http://dev.mensfeld.pl/,Maciej Mensfeld,Microframework used to simplify Apache Kafka based Ruby applications development,Karafka,https://github.com/karafka/karafka,"Ruby, Apache Kafka"
http://www.feliszewski.eu,Kamil Feliszewski,"mała gra w stylu FPS, akcja będzie rozgrywać się na wyspie",Arczupiczu,https://github.com/fe-li/Arczupiczu,"Unity3D, Azure"
http://develop.art-of-ai.com/,Mateusz Bednarski,"Rozwiazywanie labiryntów, sudoku i być może innych zagadek ze zrobionego zdjęcia.",Eye of Horus,https://github.com/artofai/EyeOfHorus,"Python, możliwy klient w C#"
http://www.dobreprogramy.pl/djfoxer,Grzegorz Jamiołkowski,Aplikacja uniwersalna pod Windows 10 (i Mobile) do przechwytywania w tle powiadomień użytkownika z portalu dobreprogramy.pl,DP Notification,https://github.com/djfoxer/dp.notification,"Universal Windows Platform, C#"
http://czekanski.info,Jakub Czekański,Emulator PlayStation,Avocado,https://github.com/JaCzekanski/Avocado,"C++, OpenGL, HTML/JS/CSS"
https://tomoitblog.wordpress.com/,Tomasz Molenda,Program ma pomóc w zarządzaniu domowymi lekami,mediciline,https://github.com/TomaszMolenda/mediciline,java spring mvc
http://codingpersona.com,Filip Bartuzi,"Nie wiem jeszcze co to dokladnie będzie, ale na pewno pobawię się w railsach angularem 2 lub reactem",Póki co brak. Jak zarysuje mi się pomysł na sam projekt to wybiorę tytuł,https://github.com/Bartuz/april,Rails(5
http://devfirststeps.blog.pl/,Bartłomiej Łazarski,"Spersonalizowana strona/wizytówka, coś co i tak muszę wykonać pewnego dnia.",LetMeGetToKnowYou,https://github.com/YogAzathoth/LetMeGetToKnowYou,"Ruby on Rails, HTML, CSS"
http://doriansobacki.pl,Dorian Sobacki,"Aplikacja do tworzenia własnej książki kucharskiej. Na podstawie zrobionych zdjęć z innych książek kucharskich będzie w stanie odnaleźć najcenniejsze informacje (składniki, sposób przyrządzenia) i dodać do osobistej książki kucharskiej, którą będzie można",Cook Book,https://github.com/Dorrro/CookBook,ASP.NET MVC 5
http://namiekko.pl/,Justyna Walkowska,"Skataloguj szafę, szukaj według kategorii, pożyczaj ubrania",szafbook,https://github.com/1nk4/szafbook,Java (co dalej? to się okaże!
http://parkowanko.blogspot.com/,Bartek Mazur,sprawdzanie wolnych miejsc na parkingu,Czujnik Parkowani,https://github.com/Szarp/parkSensor,Internet of Things
http://blog.gonek.net/,Robert Gonek,Biblioteka dodając panel administracyjny do strony na podstawie klas POCO.,Ilaro.Admin,https://github.com/rgonek/Ilaro.Admin,"ASP MVC, C#"
http://www.kotprogramistyczny.pl,Tomek Wiernik,Narzędzie do przeglądnia transakcji na koncie bankowym,ShowMeTheMoney,https://github.com/dachowiec/ShowMeTheMoney,c# wpf
https://michalzajac.me,Michał Zając,Gram sobie w karciankę i większość baz danych to jakiś arkusz Excela albo strona na WordPressie,Fate/Grand Order Database,https://github.com/Quintasan/fgodb,Ruby on Rails
https://beabest.wordpress.com,Zdzisław Goik,Beabest jest grą osadzoną w świecie fantasy. Naszym zadaniem jest zabijanie jak największej przeciwników by zdobyć złoto i exp,Beabest,https://github.com/lorow/Beabest,C# oraz Unity3D 5
http://blog.yellowmoleproductions.pl/,Anna Sierhej,Czy marzyłeś kiedyś o pokonaniu złych gości Szermierczym Uchem? W planach napisanie gry 2D właśnie o tym.,Fencing Ears,https://github.com/malezoltekrety/FencingEars.git,"Unity, Cocos2d (być może"
http://gronek.gq,Patryk Gronkiewicz,"Sterowanie komputerem za pomocą pilota, odbiornika i Arduino Mega",PC-IR-Arduino,https://gitlab.com/Gronekmaster/Qt-games-launcher,"C++, Arduino, Python"
http://piatkosia.k4be.pl/wordpress/,Angelika Piątkowska,Projekt do oceny ryzyka i zarządzania bezpieczeństwem,bezpieczniejsi,https://github.com/Piatkosia/bezpieczniejsi.git,".net, c#. wpf"
http://angryprogrammer.blog.com/,Tomasz Sikora,Emulator legendarnego vocodera Rolanda SVC 350,SVC 350,https://github.com/sikora507/svc350/,"C#, C++, C++/CLI, VST, VST.NET, FL Studio, Filtry sygnałowe IIR, WPF, hardware"
http://wolfman12333-ethicalhacker.simplesite.com,Dawid Wordliczek,PM4P - Pass Maker for Pentesters czyli program którego głównym zadaniem jest generowanie listy wszystkich możliwych haseł o podanej długości lub o określonej granicy długości typu od ... do na podstawie danych wejściowych. Także umożliwia pobranie informa,PM4P,https://github.com/WolfMan12333/PM4P,"WFA, NET"
http://devbochenek.pl/,Marek Bochenek,"Będzie to projekt open source rezerwacji. Dzięki temu systemowi będziemy mogli wypożyczyć dowolny obiekt, a klienci będą mogli go rezerwować. Będzie można wynająć wszystko cobyśmy chcieli komuś wynająć, a klient będzie mógł to zarezerwować na jakis okres ",zarezerwujTo,https://github.com/rolldev/zarezerwujto,"Symfony2, php, html, mysql, twig, JS"
https://dziewczynazpytonem.wordpress.com/,Dziewczyna z pytonem,W branży IT dużo się narzeka na rekruterów. Planuję zrobić coś na zasadach cleverbota/symulacji rozmowy o pracę - bot będzie zachowywał się jak najgorszy rekruter w mieście ;),Job interview,https://github.com/dziewczynazpytonem/job-interview.git,Python
http://blog.chyla.org/,Adam Chyła,Prosty system zarządzania logami,PAT LMS,https://github.com/chyla/pat-lms,"C,C++,Python,D-Bus,Django"
http://szymekk.me/blog/,Szymon Jankowski,Silnik gry,Orly,https://github.com/szymski/orly,Język D
http://www.dedlajn.pl,Tomasz Majewski,"System do zarządzania zamówieniami, agregowanymi z wielu sklepów internetowych i platform aukcyjnych. Gdy liczba zamówień wzrasta do takiego poziomu, że nie sposób ich ogarnąć za pomocą prostego panelu w platformie sklepu, albo duża liczba kanałów sprzed",Ombox - System Zarządzania Zamówieniami,https://github.com/cldbrr/ombox/,ASP .NET MVC CORE 1.0
http://aneta-bielska.github.io/,Aneta Bielska,Aplikacja pomagająca w adopcji zwierząt ze schronisk.,home-for-paws,https://github.com/aneta-bielska/home-for-paws-app,"Ruby, JS"
http://filipcinik.azurewebsites.net/,Filip Cinik,Aplikacja przypominająca o dodanych wydarzeniach.,RemindMe,https://github.com/fcin/RemindMe,.NET
http://emi.gd/,Emilia Szymańska,Projekt systemu fabuły do gier RPG wykorzystujący logikę temporalną.,Temporal RPG System,https://github.com/Harriet92/TemporalRPGSystem,Unity
http://www.devanarch.com/,Paweł Paluch,Zestaw narzędzi do komunikacji z sterownikami PLC Beckhoff po protokole ADS,F# ADS Toolkit,https://github.com/nu-soft/fsharp-ads-toolkit,".NET, F#, ADS, TwinCAT"
http://knowakowski.azurewebsites.net/,Krzysztof Nowakowski,"Mały moduł do montowania w ścianie do zdalnego sterowanie oświetleniem, w domu przez WiFi lub na zewnątrz domu przez sieć. Sprawdzenie poza domem, czy nie zapomnieliśmy zgasić światła. Do tego możliwość włączania światła zwykłym przełącznikiem w ścianie.",Moduł zdalnego sterowania oświetleniem,https://github.com/krzysiekmwk/projekt.git,Arduino
http://www.adambac.com,Adam Bac,CMS do szybkiego tworzenia bloga w GitHub Pages i Jekyll,Hyde CMS,https://github.com/abac00s/HydeCMS,AngularJS
http://tomaszkorecki.com/,Tomasz Korecki,Aplikacja webowa pozwalająca na utrzymanie połączenia oraz wymianę danych pomiędzy programami klienckimi lub urządzeniami IoT w ramach zarejestrowanych przez użytkownika kanałów.,ConnectYourself,https://github.com/TomaszKorecki/connectYourself,"C#, ASP.NET MVC, Websockets, Rest"
http://www.sebastiangruchacz.pl/,Sebastian Słuchacz,Paradostyczny generator losowych tekstów piosenek black/death metalowych.,Flaksator,https://github.com/Sebastian-Gruchacz/Flaksator,"C#, noSQL, WinForms => ModernUi"
http://www.paweltymura.pl,Paweł Tymura,Gra motocyklowa - prowadzisz z góry widziany pojazd.,Hard Rider,https://github.com/pablot/HardRider,Swift
