"","commit","repo_owner","repo_name","additions","deletions"
"1",2016-01-20 14:51:40,"karafka","karafka",0,0
"2",2016-01-21 12:12:50,"karafka","karafka",0,0
"3",2016-01-21 12:57:24,"karafka","karafka",0,0
"4",2016-01-21 14:29:20,"karafka","karafka",0,0
"5",2016-01-23 18:40:12,"karafka","karafka",0,0
"6",2016-01-23 18:53:53,"karafka","karafka",0,0
"7",2016-01-23 20:57:49,"karafka","karafka",0,0
"8",2016-01-23 22:20:12,"karafka","karafka",0,0
"9",2016-01-25 14:22:48,"karafka","karafka",0,0
"10",2016-01-25 15:42:02,"karafka","karafka",0,0
"11",2016-01-25 15:51:18,"karafka","karafka",0,0
"12",2016-01-26 13:17:51,"karafka","karafka",0,0
"13",2016-01-26 15:17:06,"karafka","karafka",0,0
"14",2016-01-26 15:52:38,"karafka","karafka",0,0
"15",2016-01-26 15:54:22,"karafka","karafka",0,0
"16",2016-01-26 16:20:08,"karafka","karafka",0,0
"17",2016-01-28 17:37:24,"karafka","karafka",0,0
"18",2016-01-28 17:37:55,"karafka","karafka",0,0
"19",2016-01-28 17:39:15,"karafka","karafka",0,0
"20",2016-01-29 08:29:31,"karafka","karafka",0,0
"21",2016-01-29 08:48:09,"karafka","karafka",0,0
"22",2016-01-29 08:51:48,"karafka","karafka",0,0
"23",2016-01-29 16:00:51,"karafka","karafka",0,0
"24",2016-01-29 16:37:22,"karafka","karafka",0,0
"25",2016-01-29 17:36:25,"karafka","karafka",0,0
"26",2016-01-29 17:43:32,"karafka","karafka",0,0
"27",2016-02-01 14:02:06,"karafka","karafka",0,0
"28",2016-02-02 13:42:46,"karafka","karafka",0,0
"29",2016-02-02 13:49:28,"karafka","karafka",0,0
"30",2016-03-10 13:55:55,"karafka","karafka",43,43
"31",2016-02-01 17:06:10,"artofai","eyeofhorus",0,0
"32",2016-03-04 23:07:26,"artofai","eyeofhorus",419,0
"33",2016-03-07 15:49:05,"artofai","eyeofhorus",20,21
"34",2016-03-18 17:43:01,"artofai","eyeofhorus",66,32
"35",2016-03-18 17:44:18,"artofai","eyeofhorus",76,0
"36",2016-02-01 19:36:21,"djfoxer","dp.notification",0,0
"37",2016-03-13 14:44:58,"djfoxer","dp.notification",1311,0
"38",2016-03-13 20:40:36,"djfoxer","dp.notification",72,13
"39",2016-03-15 23:31:09,"djfoxer","dp.notification",27,11
"40",2015-07-19 02:47:44,"jaczekanski","avocado",0,0
"41",2015-07-22 05:21:45,"jaczekanski","avocado",0,0
"42",2015-07-27 21:50:12,"jaczekanski","avocado",0,0
"43",2015-07-27 21:50:48,"jaczekanski","avocado",0,0
"44",2015-07-28 15:54:14,"jaczekanski","avocado",0,0
"45",2015-07-28 22:35:01,"jaczekanski","avocado",0,0
"46",2015-07-29 07:42:56,"jaczekanski","avocado",0,0
"47",2015-07-29 08:05:36,"jaczekanski","avocado",0,0
"48",2015-07-29 09:52:28,"jaczekanski","avocado",0,0
"49",2015-08-12 17:37:30,"jaczekanski","avocado",0,0
"50",2015-08-12 17:38:05,"jaczekanski","avocado",0,0
"51",2015-08-12 17:39:30,"jaczekanski","avocado",0,0
"52",2015-08-12 18:40:08,"jaczekanski","avocado",0,0
"53",2015-08-17 18:35:50,"jaczekanski","avocado",0,0
"54",2015-08-17 18:36:02,"jaczekanski","avocado",0,0
"55",2015-08-17 22:54:26,"jaczekanski","avocado",0,0
"56",2016-01-05 21:39:13,"jaczekanski","avocado",0,0
"57",2016-01-06 12:52:46,"jaczekanski","avocado",0,0
"58",2016-01-06 14:55:08,"jaczekanski","avocado",0,0
"59",2016-01-06 16:42:02,"jaczekanski","avocado",0,0
"60",2016-01-06 20:33:08,"jaczekanski","avocado",0,0
"61",2016-01-07 01:07:06,"jaczekanski","avocado",0,0
"62",2016-01-07 03:02:52,"jaczekanski","avocado",0,0
"63",2016-01-07 03:03:08,"jaczekanski","avocado",0,0
"64",2016-03-14 20:27:51,"jaczekanski","avocado",37,7
"65",2016-03-14 22:02:34,"jaczekanski","avocado",42,51
"66",2016-03-14 22:03:03,"jaczekanski","avocado",5,8
"67",2016-03-14 22:03:20,"jaczekanski","avocado",3236,2619
"68",2016-03-17 23:38:11,"jaczekanski","avocado",261,89
"69",2016-03-18 13:41:38,"jaczekanski","avocado",54,23
"70",2016-02-02 09:11:42,"tomaszmolenda","mediciline",0,0
"71",2016-02-02 09:54:33,"tomaszmolenda","mediciline",0,0
"72",2016-02-02 13:33:13,"tomaszmolenda","mediciline",0,0
"73",2016-02-02 21:06:45,"tomaszmolenda","mediciline",0,0
"74",2016-02-03 13:02:38,"tomaszmolenda","mediciline",0,0
"75",2016-02-09 13:04:09,"tomaszmolenda","mediciline",0,0
"76",2016-02-09 21:19:32,"tomaszmolenda","mediciline",0,0
"77",2016-02-10 21:18:59,"tomaszmolenda","mediciline",0,0
"78",2016-02-11 13:00:15,"tomaszmolenda","mediciline",0,0
"79",2016-02-13 22:27:28,"tomaszmolenda","mediciline",0,0
"80",2016-02-17 12:53:18,"tomaszmolenda","mediciline",0,0
"81",2016-02-19 19:37:27,"tomaszmolenda","mediciline",0,0
"82",2016-02-21 19:45:22,"tomaszmolenda","mediciline",0,0
"83",2016-02-26 09:40:04,"tomaszmolenda","mediciline",0,0
"84",2016-02-02 10:08:45,"yogazathoth","letmegettoknowyou",0,0
"85",2016-02-03 11:35:45,"yogazathoth","letmegettoknowyou",0,0
"86",2016-02-02 12:04:55,"dorrro","cookbook",0,0
"87",2016-03-14 20:24:59,"dorrro","cookbook",25525,0
"88",2016-02-02 13:16:55,"1nk4","szafbook",0,0
"89",2016-03-04 15:20:57,"1nk4","szafbook",2,1
"90",2016-03-11 21:00:07,"1nk4","szafbook",12,0
"91",2016-03-12 14:31:01,"1nk4","szafbook",104,12
"92",2016-03-12 15:13:21,"1nk4","szafbook",5,4
"93",2016-03-12 17:56:41,"1nk4","szafbook",4,1
"94",2016-03-12 17:58:01,"1nk4","szafbook",5,0
"95",2016-03-18 10:40:40,"1nk4","szafbook",45,12
"96",2016-03-18 10:53:52,"1nk4","szafbook",1,2
"97",2016-03-18 14:22:12,"1nk4","szafbook",45,42
"98",2016-02-02 18:54:19,"szarp","parksensor",0,0
"99",2016-02-02 19:48:09,"szarp","parksensor",0,0
"100",2016-02-08 18:56:35,"szarp","parksensor",0,0
"101",2015-07-28 18:11:38,"rgonek","ilaro.admin",0,0
"102",2015-07-28 18:34:30,"rgonek","ilaro.admin",0,0
"103",2015-07-28 19:31:09,"rgonek","ilaro.admin",0,0
"104",2015-12-20 11:43:56,"rgonek","ilaro.admin",0,0
"105",2015-12-20 12:51:53,"rgonek","ilaro.admin",0,0
"106",2015-12-20 13:48:54,"rgonek","ilaro.admin",0,0
"107",2015-12-20 13:57:52,"rgonek","ilaro.admin",0,0
"108",2015-12-20 14:22:08,"rgonek","ilaro.admin",0,0
"109",2015-12-20 15:19:55,"rgonek","ilaro.admin",0,0
"110",2015-12-20 17:10:07,"rgonek","ilaro.admin",0,0
"111",2016-02-02 20:13:29,"rgonek","ilaro.admin",0,0
"112",2016-03-01 21:59:21,"rgonek","ilaro.admin",3,27
"113",2016-03-01 22:23:17,"rgonek","ilaro.admin",8,268
"114",2016-03-02 17:23:14,"rgonek","ilaro.admin",25,79
"115",2016-03-02 22:27:36,"rgonek","ilaro.admin",5964,7
"116",2016-03-03 16:55:05,"rgonek","ilaro.admin",15,8
"117",2016-03-03 21:17:56,"rgonek","ilaro.admin",0,10
"118",2016-03-04 23:39:21,"rgonek","ilaro.admin",39,39
"119",2016-03-06 10:11:15,"rgonek","ilaro.admin",156,0
"120",2016-03-06 10:23:35,"rgonek","ilaro.admin",20,0
"121",2016-03-06 12:59:52,"rgonek","ilaro.admin",32,50
"122",2016-03-06 19:28:32,"rgonek","ilaro.admin",244,0
"123",2016-03-06 19:35:32,"rgonek","ilaro.admin",491,89
"124",2016-03-06 19:43:16,"rgonek","ilaro.admin",2,0
"125",2016-03-06 21:18:41,"rgonek","ilaro.admin",69,40
"126",2016-03-07 21:38:01,"rgonek","ilaro.admin",96,10
"127",2016-03-10 16:48:23,"rgonek","ilaro.admin",1,0
"128",2016-03-10 16:49:28,"rgonek","ilaro.admin",621,419
"129",2016-03-17 20:07:29,"rgonek","ilaro.admin",46,178
