,url,day,wday
0,https://michalzajac.me/atom.xml,13,6
1,https://michalzajac.me/atom.xml,4,4
2,http://aneta-bielska.github.io/feed.xml,20,6
3,http://aneta-bielska.github.io/feed.xml,19,5
4,http://aneta-bielska.github.io/feed.xml,11,4
5,http://aneta-bielska.github.io/feed.xml,11,4
6,http://aneta-bielska.github.io/feed.xml,4,4
7,http://aneta-bielska.github.io/feed.xml,4,4
8,http://aneta-bielska.github.io/feed.xml,2,2
9,http://maque.github.io/feed.xml,21,0
10,http://maque.github.io/feed.xml,14,0
11,http://maque.github.io/feed.xml,11,4
12,http://maque.github.io/feed.xml,7,0
13,http://maque.github.io/feed.xml,3,3
14,http://dev.nitwoe.com/feed.xml,24,3
15,http://dev.nitwoe.com/feed.xml,20,6
16,http://dev.nitwoe.com/feed.xml,17,3
17,http://dev.nitwoe.com/feed.xml,15,1
18,http://dev.nitwoe.com/feed.xml,9,2
19,http://dev.nitwoe.com/feed.xml,4,4
20,http://dev.nitwoe.com/feed.xml,1,1
21,http://dev.kielczykowski.pl/feed.xml,24,3
22,http://dev.kielczykowski.pl/feed.xml,11,4
23,http://dev.kielczykowski.pl/feed.xml,4,4
24,http://dev.kielczykowski.pl/feed.xml,1,1
25,http://klimek.link/blog/feed/,24,3
26,http://klimek.link/blog/feed/,22,1
27,http://klimek.link/blog/feed/,17,3
28,http://klimek.link/blog/feed/,10,3
29,http://klimek.link/blog/feed/,6,6
30,http://jakubdziworski.github.io/feed.xml,23,2
31,http://jakubdziworski.github.io/feed.xml,22,1
32,http://jakubdziworski.github.io/feed.xml,16,2
33,http://jakubdziworski.github.io/feed.xml,11,4
34,http://jakubdziworski.github.io/feed.xml,10,3
35,http://jakubdziworski.github.io/feed.xml,9,2
36,http://mickl.net/feed/,24,3
37,http://mickl.net/feed/,21,0
38,http://mickl.net/feed/,17,3
39,http://mickl.net/feed/,14,0
40,http://mickl.net/feed/,7,0
41,https://jacek.migdal.pl/feed.xml,18,4
42,http://blog.e-polecanie.pl/feed/,21,0
43,http://blog.e-polecanie.pl/feed/,17,3
44,http://blog.e-polecanie.pl/feed/,13,6
45,http://dodocs.azurewebsites.net/rss,12,5
46,http://dodocs.azurewebsites.net/rss,13,6
47,http://dev.mensfeld.pl/feed/,20,6
48,https://art-of-ai.com/feed/,20,6
49,https://art-of-ai.com/feed/,18,4
50,https://art-of-ai.com/feed/,10,3
51,https://art-of-ai.com/feed/,7,0
52,https://art-of-ai.com/feed/,4,4
53,https://art-of-ai.com/feed/,1,1
54,"http://www.dobreprogramy.pl/djfoxer,Rss",20,6
55,"http://www.dobreprogramy.pl/djfoxer,Rss",16,2
56,"http://www.dobreprogramy.pl/djfoxer,Rss",12,5
57,"http://www.dobreprogramy.pl/djfoxer,Rss",9,2
58,"http://www.dobreprogramy.pl/djfoxer,Rss",6,6
59,http://czekanski.info/feed/,20,6
60,http://czekanski.info/feed/,17,3
61,http://czekanski.info/feed/,13,6
62,http://czekanski.info/feed/,6,6
63,https://tomoitblog.wordpress.com/feed/,4,4
64,http://doriansobacki.pl/feed/,20,6
65,http://doriansobacki.pl/feed/,14,0
66,http://namiekko.pl/feed/,25,4
67,http://namiekko.pl/feed/,20,6
68,http://namiekko.pl/feed/,18,4
69,http://namiekko.pl/feed/,13,6
70,http://namiekko.pl/feed/,11,4
71,http://namiekko.pl/feed/,7,0
72,http://namiekko.pl/feed/,5,5
73,http://namiekko.pl/feed/,1,1
74,http://blog.gonek.net/feed/,22,1
75,http://blog.gonek.net/feed/,20,6
76,http://blog.gonek.net/feed/,18,4
77,http://blog.gonek.net/feed/,13,6
78,http://blog.gonek.net/feed/,8,1
79,http://blog.gonek.net/feed/,3,3
80,http://kotprogramistyczny.pl/feed/,21,0
81,http://kotprogramistyczny.pl/feed/,18,4
82,http://kotprogramistyczny.pl/feed/,17,3
83,http://kotprogramistyczny.pl/feed/,13,6
84,http://kotprogramistyczny.pl/feed/,10,3
85,http://kotprogramistyczny.pl/feed/,8,1
86,http://kotprogramistyczny.pl/feed/,5,5
87,http://kotprogramistyczny.pl/feed/,3,3
88,https://beabest.wordpress.com/feed/,20,6
89,https://beabest.wordpress.com/feed/,19,5
90,https://beabest.wordpress.com/feed/,13,6
91,https://beabest.wordpress.com/feed/,11,4
92,https://beabest.wordpress.com/feed/,4,4
93,https://beabest.wordpress.com/feed/,1,1
94,http://blog.yellowmoleproductions.pl/feed/,9,2
95,http://blog.yellowmoleproductions.pl/feed/,7,0
96,http://blog.yellowmoleproductions.pl/feed/,2,2
97,http://blog.yellowmoleproductions.pl/feed/,1,1
98,http://gronek.gq/feed/,10,3
99,http://piatkosia.k4be.pl/wordpress/?feed=rss2,13,6
100,http://piatkosia.k4be.pl/wordpress/?feed=rss2,12,5
101,http://piatkosia.k4be.pl/wordpress/?feed=rss2,10,3
102,http://piatkosia.k4be.pl/wordpress/?feed=rss2,8,1
103,http://piatkosia.k4be.pl/wordpress/?feed=rss2,1,1
104,http://negativeprogrammer.blogspot.com/feeds/posts/default,23,2
105,http://negativeprogrammer.blogspot.com/feeds/posts/default,21,0
106,http://negativeprogrammer.blogspot.com/feeds/posts/default,16,2
107,http://negativeprogrammer.blogspot.com/feeds/posts/default,14,0
108,http://negativeprogrammer.blogspot.com/feeds/posts/default,9,2
109,http://negativeprogrammer.blogspot.com/feeds/posts/default,7,0
110,http://negativeprogrammer.blogspot.com/feeds/posts/default,2,2
111,http://negativeprogrammer.blogspot.com/feeds/posts/default,1,1
112,http://devbochenek.pl/feed/,8,1
113,http://devbochenek.pl/feed/,6,6
114,http://devbochenek.pl/feed/,2,2
115,https://dziewczynazpytonem.wordpress.com/feed/,13,6
116,https://dziewczynazpytonem.wordpress.com/feed/,7,0
117,https://dziewczynazpytonem.wordpress.com/feed/,1,1
118,http://blog.chyla.org/rss,20,6
119,http://blog.chyla.org/rss,13,6
120,http://blog.chyla.org/rss,11,4
121,http://blog.chyla.org/rss,4,4
122,http://blog.chyla.org/rss,1,1
123,http://blog.chyla.org/rss,1,1
124,http://szymekk.me/blog/feed/,25,4
125,http://szymekk.me/blog/feed/,19,5
126,http://szymekk.me/blog/feed/,6,6
127,http://szymekk.me/blog/feed/,2,2
128,http://www.dedlajn.pl/feeds/posts/default,8,1
129,http://www.dedlajn.pl/feeds/posts/default,4,4
130,http://www.dedlajn.pl/feeds/posts/default,1,1
131,http://filipcinik.azurewebsites.net/index.php/feed/,20,6
132,http://filipcinik.azurewebsites.net/index.php/feed/,16,2
133,http://filipcinik.azurewebsites.net/index.php/feed/,12,5
134,http://filipcinik.azurewebsites.net/index.php/feed/,12,5
135,http://filipcinik.azurewebsites.net/index.php/feed/,6,6
136,http://filipcinik.azurewebsites.net/index.php/feed/,3,3
137,http://emigd.azurewebsites.net/feed.xml,25,4
138,http://emigd.azurewebsites.net/feed.xml,20,6
139,http://emigd.azurewebsites.net/feed.xml,16,2
140,http://emigd.azurewebsites.net/feed.xml,13,6
141,http://emigd.azurewebsites.net/feed.xml,8,1
142,http://emigd.azurewebsites.net/feed.xml,4,4
143,http://emigd.azurewebsites.net/feed.xml,1,1
144,http://www.devanarch.com/feed/,14,0
145,http://www.devanarch.com/feed/,13,6
146,http://www.devanarch.com/feed/,7,0
147,http://www.devanarch.com/feed/,5,5
148,http://knowakowski.azurewebsites.net/feed/,18,4
149,http://knowakowski.azurewebsites.net/feed/,14,0
150,http://knowakowski.azurewebsites.net/feed/,9,2
151,http://knowakowski.azurewebsites.net/feed/,8,1
152,http://knowakowski.azurewebsites.net/feed/,5,5
153,http://knowakowski.azurewebsites.net/feed/,1,1
154,http://www.adambac.com/feed.xml,25,4
155,http://www.adambac.com/feed.xml,24,3
156,http://www.adambac.com/feed.xml,18,4
157,http://www.adambac.com/feed.xml,17,3
158,http://www.adambac.com/feed.xml,12,5
159,http://www.adambac.com/feed.xml,8,1
160,http://www.adambac.com/feed.xml,4,4
161,http://www.adambac.com/feed.xml,1,1
162,http://tomaszkorecki.com/feed/,22,1
163,http://tomaszkorecki.com/feed/,19,5
164,http://tomaszkorecki.com/feed/,15,1
165,http://tomaszkorecki.com/feed/,11,4
166,http://tomaszkorecki.com/feed/,8,1
167,http://tomaszkorecki.com/feed/,6,6
168,http://tomaszkorecki.com/feed/,4,4
169,http://tomaszkorecki.com/feed/,1,1
170,http://www.sebastiangruchacz.pl/feed/,24,3
171,http://www.sebastiangruchacz.pl/feed/,21,0
172,http://www.sebastiangruchacz.pl/feed/,21,0
173,http://www.sebastiangruchacz.pl/feed/,14,0
174,http://www.sebastiangruchacz.pl/feed/,9,2
175,http://www.sebastiangruchacz.pl/feed/,7,0
176,http://paweltymura.pl/feed/,25,4
177,http://paweltymura.pl/feed/,23,2
178,http://paweltymura.pl/feed/,23,2
179,http://paweltymura.pl/feed/,18,4
180,http://paweltymura.pl/feed/,17,3
181,http://paweltymura.pl/feed/,17,3
182,http://paweltymura.pl/feed/,9,2
183,http://paweltymura.pl/feed/,9,2
184,http://paweltymura.pl/feed/,8,1
185,http://paweltymura.pl/feed/,8,1
186,http://www.pyrzyk.net/feed/,24,3
187,http://www.pyrzyk.net/feed/,21,0
188,http://www.pyrzyk.net/feed/,17,3
189,http://www.pyrzyk.net/feed/,13,6
190,http://www.pyrzyk.net/feed/,7,0
191,http://www.pyrzyk.net/feed/,3,3
192,http://www.pyrzyk.net/feed/,1,1
193,http://marcinszyszka.pl/feed/,20,6
194,http://marcinszyszka.pl/feed/,16,2
195,http://marcinszyszka.pl/feed/,13,6
196,http://marcinszyszka.pl/feed/,9,2
197,http://marcinszyszka.pl/feed/,6,6
198,http://marcinszyszka.pl/feed/,2,2
199,http://marcinszyszka.pl/feed/,1,1
200,http://blog.kars7e.io/feed.xml,4,4
201,http://blog.kars7e.io/feed.xml,1,1
202,http://mateorobiapke.blogspot.com/feeds/posts/default,21,0
203,http://mateorobiapke.blogspot.com/feeds/posts/default,9,2
204,http://mateorobiapke.blogspot.com/feeds/posts/default,2,2
205,http://tomasz.dudziak.eu/feed/,14,0
206,http://tomasz.dudziak.eu/feed/,6,6
207,https://dotnetcoder.wordpress.com/feed/,23,2
208,https://dotnetcoder.wordpress.com/feed/,21,0
209,https://dotnetcoder.wordpress.com/feed/,18,4
210,https://dotnetcoder.wordpress.com/feed/,15,1
211,https://dotnetcoder.wordpress.com/feed/,12,5
212,https://dotnetcoder.wordpress.com/feed/,10,3
213,https://dotnetcoder.wordpress.com/feed/,4,4
214,https://dotnetcoder.wordpress.com/feed/,1,1
215,http://jakubskoczen.pl/feed/,20,6
216,http://jakubskoczen.pl/feed/,16,2
217,http://jakubskoczen.pl/feed/,11,4
218,http://jakubskoczen.pl/feed/,8,1
219,http://jakubskoczen.pl/feed/,6,6
220,http://jakubskoczen.pl/feed/,3,3
