,url,day,month,year
0,http://aneta-bielska.github.io/feed.xml,20.0,3.0,2016.0
1,http://aneta-bielska.github.io/feed.xml,20.0,3.0,2016.0
2,http://aneta-bielska.github.io/feed.xml,20.0,3.0,2016.0
3,http://aneta-bielska.github.io/feed.xml,19.0,3.0,2016.0
4,http://aneta-bielska.github.io/feed.xml,11.0,3.0,2016.0
5,http://aneta-bielska.github.io/feed.xml,11.0,3.0,2016.0
6,http://aneta-bielska.github.io/feed.xml,4.0,3.0,2016.0
7,http://aneta-bielska.github.io/feed.xml,4.0,3.0,2016.0
8,http://aneta-bielska.github.io/feed.xml,2.0,3.0,2016.0
9,https://medium.com/feed/@marcinmatuszak,,,
10,http://maque.github.io/feed.xml,21.0,3.0,2016.0
11,http://maque.github.io/feed.xml,14.0,3.0,2016.0
12,http://maque.github.io/feed.xml,11.0,3.0,2016.0
13,http://maque.github.io/feed.xml,7.0,3.0,2016.0
14,http://maque.github.io/feed.xml,3.0,3.0,2016.0
15,http://maque.github.io/feed.xml,20.0,2.0,2016.0
16,http://dev.nitwoe.com/feed.xml,30.0,3.0,2016.0
17,http://dev.nitwoe.com/feed.xml,28.0,3.0,2016.0
18,http://dev.nitwoe.com/feed.xml,24.0,3.0,2016.0
19,http://dev.nitwoe.com/feed.xml,20.0,3.0,2016.0
20,http://dev.nitwoe.com/feed.xml,17.0,3.0,2016.0
21,http://dev.nitwoe.com/feed.xml,15.0,3.0,2016.0
22,http://dev.nitwoe.com/feed.xml,9.0,3.0,2016.0
23,http://dev.nitwoe.com/feed.xml,4.0,3.0,2016.0
24,http://dev.nitwoe.com/feed.xml,1.0,3.0,2016.0
25,http://lukasstankiewicz.github.io/feed.xml,17.0,2.0,2016.0
26,http://dev.kielczykowski.pl/feed.xml,30.0,3.0,2016.0
27,http://dev.kielczykowski.pl/feed.xml,28.0,3.0,2016.0
28,http://dev.kielczykowski.pl/feed.xml,24.0,3.0,2016.0
29,http://dev.kielczykowski.pl/feed.xml,11.0,3.0,2016.0
30,http://dev.kielczykowski.pl/feed.xml,4.0,3.0,2016.0
31,http://dev.kielczykowski.pl/feed.xml,1.0,3.0,2016.0
32,http://klimek.link/blog/feed/,24.0,3.0,2016.0
33,http://klimek.link/blog/feed/,22.0,3.0,2016.0
