"feed_url","post_url","date"
"http://0x00antdot.blogspot.com/feeds/posts/default","http://0x00antdot.blogspot.com/2016/02/hello-all.html","2016-02-28"
"http://0x00antdot.blogspot.com/feeds/posts/default","http://0x00antdot.blogspot.com/2016/03/voice-communication-between-human-and.html","2016-03-04"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=697","2015-01-05"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=738","2015-05-25"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=754","2016-01-27"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=786","2016-03-02"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=801","2016-03-03"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=816","2016-03-06"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=831","2016-03-13"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=848","2016-03-15"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=859","2016-03-23"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=898","2016-03-25"
"http://adam.skobo.pl/?feed=rss2","http://adam.skobo.pl/?p=913","2016-04-04"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/03/mockupy/","2016-03-10"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/03/pierwszy-wpis/","2016-03-01"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/03/platform-specific-code/","2016-03-20"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/03/szkicujemy/","2016-03-05"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/03/universal-windows-platform/","2016-03-13"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/03/zaczynamy/","2016-03-18"
"http://adamszneider.azurewebsites.net/feed/","http://adamszneider.azurewebsites.net/2016/04/na-szybko/","2016-04-02"
"http://addictedtocreating.pl/feed/","http://addictedtocreating.pl/czesc-1-o-projekcie/","2016-03-02"
"http://addictedtocreating.pl/feed/","http://addictedtocreating.pl/czesc-2-pierwszy-gamepad/","2016-03-06"
"http://addictedtocreating.pl/feed/","http://addictedtocreating.pl/czesc-3-przyjazne-gui/","2016-03-12"
"http://addictedtocreating.pl/feed/","http://addictedtocreating.pl/czesc-4-enkoder-fsx-i-schody-pod-gore/","2016-03-13"
"http://addictedtocreating.pl/feed/","http://addictedtocreating.pl/startujmy/","2016-02-28"
"http://agatamroz.com.pl/feed/","http://agatamroz.com.pl/2016/03/03/daj-sie-poznac/","2016-03-03"
"http://agatamroz.com.pl/feed/","http://agatamroz.com.pl/2016/03/07/o-moim-projekcie-abys-nie-zapomnial-o-wspanialych-miejscach/","2016-03-07"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/02/warm-up.html","2016-03-02"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/04/project-introduction.html","2016-03-04"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/04/servers-and-domains.html","2016-03-04"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/11/assets-management-in-sinatra.html","2016-03-11"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/11/why-open-source-contribution-is-good.html","2016-03-11"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/19/integrating-sinatra-with-react.html","2016-03-19"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/20/ORMs-alternative-to-AR.html","2016-03-20"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/20/datamapper-sinatra-pg-sqlite3.html","2016-03-20"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/20/reactjs-simple-filtering.html","2016-03-20"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/26/ORMs-alternative-to-AR.html","2016-03-26"
"http://aneta-bielska.github.io/feed.xml","http://yourdomain.com/jekyll/update/2016/03/26/datamapper-sinatra-pg-sqlite3.html","2016-03-26"
