blog_url,repo_url,tech_stack,web,mobile,iot,game,tool,data,windows
http://dev.mensfeld.pl,https://github.com/karafka/karafka,"Ruby, Kafka",,,,,x,x,
http://www.feliszewski.eu,https://github.com/fe-li/Arczupiczu,"Unity3D, Azure",,,,x,,,
http://develop.art-of-ai.com,https://github.com/artofai/EyeOfHorus,"Python,C#",,,,x,,,
http://www.dobreprogramy.pl/djfoxer,https://github.com/djfoxer/dp.notification,"UWP, C#",,,,,,,x
http://czekanski.info,https://github.com/JaCzekanski/Avocado,"C++, OpenGL, html,js,css",,,,x,,,
https://tomoitblog.wordpress.com,https://github.com/TomaszMolenda/mediciline,"java, spring",x,,,,,,
http://codingpersona.com,https://github.com/Bartuz/april,"Ruby on Rails, Angular,React",x,,,,,,
http://devfirststeps.blog.pl,https://github.com/YogAzathoth/LetMeGetToKnowYou,"Ruby on Rails, HTML, CSS",x,,,,,,
http://doriansobacki.pl,https://github.com/Dorrro/CookBook,asp.net mvc,x,,,,,,
http://namiekko.pl,https://github.com/1nk4/szafbook,"Java, Spring",x,,,,,,
http://parkowanko.blogspot.com,https://github.com/Szarp/parkSensor,IoT,,,x,,,,
http://blog.gonek.net,https://github.com/rgonek/Ilaro.Admin,"asp.net mvc, C#",x,,,,x,,
http://www.kotprogramistyczny.pl,https://github.com/dachowiec/ShowMeTheMoney,"c#, wpf",,,,,,,x
https://michalzajac.me,https://github.com/Quintasan/fgodb,Ruby on Rails,x,,,,,,
https://beabest.wordpress.com,https://github.com/lorow/Beabest,"C#,Unity3D",,,,x,,,
http://blog.yellowmoleproductions.pl,https://github.com/malezoltekrety/FencingEars.git,"Unity3D, Cocos2d, Azure",,,,x,,,
http://gronek.gq,https://gitlab.com/Gronekmaster/Qt-games-launcher,"C++, Arduino, Python",,,x,,,,
http://piatkosia.k4be.pl/wordpress,https://github.com/Piatkosia/bezpieczniejsi.git,".net, c#, wpf",,,,,,,x
http://negativeprogrammer.blogspot.com,https://github.com/sikora507/svc350/,"C#, C++, VST, VST.NET, FL Studio, WPF",,,,,x,,x
http://wolfman12333-ethicalhacker.simplesite.com,https://github.com/WolfMan12333/PM4P,"WFA, NET",,,,,x,,
http://devbochenek.pl,https://github.com/rolldev/zarezerwujto,"Symfony2, php, html, mysql, twig, javascript",x,,,,,,
https://dziewczynazpytonem.wordpress.com,https://github.com/dziewczynazpytonem/job-interview.git,Python,x,,,,,,
http://blog.chyla.org,https://github.com/chyla/pat-lms,"C,C++,Python,D-Bus,Django",x,,,,x,,
http://szymekk.me/blog,https://github.com/szymski/orly,D,,,,x,x,,
http://www.dedlajn.pl,https://github.com/cldbrr/ombox/,"asp.net mvc, CORE",x,,,,,,
http://aneta-bielska.github.io,https://github.com/aneta-bielska/home-for-paws-app,"Ruby, javascript",x,,,,,,
http://filipcinik.azurewebsites.net,https://github.com/fcin/RemindMe,.NET,,x,,,,,
http://emi.gd,https://github.com/Harriet92/TemporalRPGSystem,Unity3d,,,,x,x,,
http://www.devanarch.com,https://github.com/nu-soft/fsharp-ads-toolkit,".NET, F#, ADS, TwinCAT",,,x,,x,,
http://knowakowski.azurewebsites.net,https://github.com/krzysiekmwk/projekt.git,Arduino,,,x,,,,
http://www.adambac.com,https://github.com/abac00s/HydeCMS,Angular,x,,,,x,,
http://tomaszkorecki.com,https://github.com/TomaszKorecki/connectYourself,"C#, asp.net mvc, Websockets, Rest",x,,x,,,,
http://www.sebastiangruchacz.pl,https://github.com/Sebastian-Gruchacz/Flaksator,"C#, noSQL, WinForms, ModernUi",,,,,x,,x
http://www.paweltymura.pl,https://github.com/pablot/HardRider,Swift,,x,,,,,
http://pyrzyk.net,https://github.com/lukasz-pyrzyk/Kronos,"C#, core, Linux",,,,,x,,
http://www.marcinszyszka.pl,https://github.com/MarcinSzyszka/MobileSecondHand,"Android, asp.net mvc,WebApi",,x,,,,,
http://blog.kars7e.io,https://github.com/kars7e/toxic-rats,"Elixir,phoenix, javascript",,,,x,,,
http://dyzur.blogspot.com,https://github.com/jedrzejd/dyzur,Java,x,,,,,,
http://MateoRobiApke.blogspot.com,https://github.com/mateuscod88/MateoRobiApke.git,"C#, WPF, SQL",,,,,,,x
http://tomasz.dudziak.eu,https://github.com/uoopl/uoo-light,"C++,ESP8266, Arduino, javascript,Angular, Android, NodeJS,PHP",,,x,,,,
http://perceptrons.prv.pl,https://github.com/GGG205/Sztuczna-sie-neuronowa,C++,,,,,x,x,
http://dotnetcoder.wordpress.com,https://github.com/Reaw/InventoryLight,"Unity3D, C#",,,,x,,,
http://jakubskoczen.pl,https://github.com/qbasko/TimePlanner,"asp.net mvc, Angular, Azure",x,,,,,,
http://krzysztofzawistowski.azurewebsites.net,https://github.com/krzyzaw/TrenerPersonalny.git,".Net,javascript",x,,,,,,
http://brinf.wordpress.com,https://github.com/BartekR/ssis-winscptask,"C#, SQL Server, SSIS",,,,,x,x,
https://devblog.dymel.pl,https://github.com/mdymel/miseco,"asp.net mvc, Core",x,,,,x,,
http://koscielniak.me,https://github.com/pikoscielniak/notifier,"asp.net mvc,core,UBUNTU,Nancy ,CORE , ANGULAR, Go",x,x,,,,,
